level_0,itrial,dataname,muh_fun,method,train_size,coverage,width,Unnamed: 0,Unnamed: 0.1,index
144,3,Solar_Atl,RidgeCV,ICP,856,0.6497970573313039,66.94296192617074,192.0,96.0,
145,3,Solar_Atl,RidgeCV,Weighted_ICP,856,0.6777016742770168,68.62889555848349,193.0,97.0,
146,3,Solar_Atl,RandomForestRegressor,ICP,856,0.7777777777777778,108.49746240601507,196.0,100.0,
147,3,Solar_Atl,RandomForestRegressor,Weighted_ICP,856,0.7352866565195332,89.14634146341463,197.0,101.0,
148,3,Solar_Atl,NeuralNet,ICP,856,0.6855657026889903,68.78955841064453,198.0,102.0,
149,3,Solar_Atl,NeuralNet,Weighted_ICP,856,0.6853120243531202,64.85547637939453,199.0,103.0,
150,3,Solar_Atl,RidgeCV,ICP,1634,0.752744159864903,86.64926917045669,200.0,104.0,
151,3,Solar_Atl,RidgeCV,Weighted_ICP,1634,0.7898958626512806,84.22121181392933,201.0,105.0,
152,3,Solar_Atl,RandomForestRegressor,ICP,1634,0.8069237264283704,118.4150943396226,204.0,108.0,
153,3,Solar_Atl,RandomForestRegressor,Weighted_ICP,1634,0.8121305938643401,127.99142674344215,205.0,109.0,
154,3,Solar_Atl,NeuralNet,ICP,1634,0.7151702786377709,78.26530456542969,206.0,110.0,
155,3,Solar_Atl,NeuralNet,Weighted_ICP,1634,0.7050379960596679,75.82764434814453,207.0,111.0,
156,3,Solar_Atl,RidgeCV,ICP,2413,0.8520625889046942,124.33741434587341,208.0,112.0,
157,3,Solar_Atl,RidgeCV,Weighted_ICP,2413,0.8583847004899636,132.57785993718326,209.0,113.0,
158,3,Solar_Atl,RandomForestRegressor,ICP,2413,0.8530109056424846,170.8900000000001,212.0,116.0,
159,3,Solar_Atl,RandomForestRegressor,Weighted_ICP,2413,0.8498498498498499,168.9624611130314,213.0,117.0,
160,3,Solar_Atl,NeuralNet,ICP,2413,0.8234550339813498,127.70882415771484,214.0,118.0,
161,3,Solar_Atl,NeuralNet,Weighted_ICP,2413,0.7926347400031608,107.33890533447266,215.0,119.0,
162,4,Solar_Atl,RidgeCV,ICP,856,0.6293759512937596,61.93666804850146,216.0,128.0,
163,4,Solar_Atl,RidgeCV,Weighted_ICP,856,0.7037037037037037,77.17465613107973,217.0,129.0,
164,4,Solar_Atl,RandomForestRegressor,ICP,856,0.7456874682902079,95.71426573426572,220.0,132.0,
165,4,Solar_Atl,RandomForestRegressor,Weighted_ICP,856,0.799974632166413,121.8056896551725,221.0,133.0,
166,4,Solar_Atl,NeuralNet,ICP,856,0.6811263318112634,66.39099884033203,222.0,134.0,
167,4,Solar_Atl,NeuralNet,Weighted_ICP,856,0.702181633688483,78.98094177246094,223.0,135.0,
168,4,Solar_Atl,RidgeCV,ICP,1634,0.8118491415705038,100.139806670961,224.0,136.0,
169,4,Solar_Atl,RidgeCV,Weighted_ICP,1634,0.7815930199831128,87.67558777985434,225.0,137.0,
170,4,Solar_Atl,RandomForestRegressor,ICP,1634,0.8028426681677455,121.1452631578947,228.0,140.0,
171,4,Solar_Atl,RandomForestRegressor,Weighted_ICP,1634,0.8133971291866029,123.32142857142864,229.0,141.0,
172,4,Solar_Atl,NeuralNet,ICP,1634,0.7499296369265409,92.340087890625,230.0,142.0,
173,4,Solar_Atl,NeuralNet,Weighted_ICP,1634,0.7683647621728117,112.00743865966795,231.0,143.0,
174,4,Solar_Atl,RidgeCV,ICP,2413,0.8612296507033349,129.65622927993027,232.0,144.0,
175,4,Solar_Atl,RidgeCV,Weighted_ICP,2413,0.8424213687371582,119.48490464761859,233.0,145.0,
176,4,Solar_Atl,RandomForestRegressor,ICP,2413,0.8558558558558559,167.80108108108115,236.0,148.0,
177,4,Solar_Atl,RandomForestRegressor,Weighted_ICP,2413,0.8408408408408409,155.4491856152233,237.0,149.0,
178,4,Solar_Atl,NeuralNet,ICP,2413,0.80891417733523,110.406982421875,238.0,150.0,
179,4,Solar_Atl,NeuralNet,Weighted_ICP,2413,0.8264580369843528,138.15213012695312,239.0,151.0,
180,5,Solar_Atl,RidgeCV,ICP,856,0.6218924403855911,65.66424827196535,240.0,160.0,
181,5,Solar_Atl,RidgeCV,Weighted_ICP,856,0.6879756468797564,81.83902154686767,241.0,161.0,
