index,Unnamed: 0,itrial,dataname,muh_fun,method,train_size,coverage,width
286,46.0,5,Solar_Atl,NeuralNet,JaB,876,0.4255454084221207,70.35929594540227
287,47.0,5,Solar_Atl,RNN,JaB,876,0.3633942161339422,64.52283711809956
288,48.0,5,Solar_Atl,RidgeCV,JaB,1654,0.6743596960315227,134.4299092408148
289,49.0,5,Solar_Atl,NeuralNet,JaB,1654,0.6536729524345624,78.20960471384295
290,50.0,5,Solar_Atl,RNN,JaB,1654,0.6730931607092597,71.15754603931497
291,51.0,5,Solar_Atl,RidgeCV,JaB,2433,0.6867393709498972,176.40299793966665
292,52.0,5,Solar_Atl,NeuralNet,JaB,2433,0.7382645803698435,101.21147137256857
293,53.0,5,Solar_Atl,RNN,JaB,2433,0.8604393867551763,348.0
294,54.0,6,Solar_Atl,RidgeCV,JaB,876,0.4894723490613901,108.27293730091068
295,55.0,6,Solar_Atl,NeuralNet,JaB,876,0.4516742770167428,69.66995687567605
296,56.0,6,Solar_Atl,RNN,JaB,876,0.4166666666666667,69.78234316924342
297,57.0,6,Solar_Atl,RidgeCV,JaB,1654,0.6764705882352942,134.9463086463846
298,58.0,6,Solar_Atl,NeuralNet,JaB,1654,0.6543765831691528,79.1217058355035
299,59.0,6,Solar_Atl,RNN,JaB,1654,0.6526878694061357,66.50051025564717
300,60.0,6,Solar_Atl,RidgeCV,JaB,2433,0.6865813181602656,176.48155054709343
301,61.0,6,Solar_Atl,NeuralNet,JaB,2433,0.8604393867551763,348.0
302,62.0,6,Solar_Atl,RNN,JaB,2433,0.6789947842579421,84.51330992809798
303,63.0,7,Solar_Atl,RidgeCV,JaB,876,0.4918822932521562,109.24352309506685
304,64.0,7,Solar_Atl,NeuralNet,JaB,876,0.4620750887874175,71.76784785748441
305,65.0,7,Solar_Atl,RNN,JaB,876,0.3665651953323186,58.75420436446997
306,66.0,7,Solar_Atl,RidgeCV,JaB,1654,0.6778778497044751,134.6860790946713
307,67.0,7,Solar_Atl,NeuralNet,JaB,1654,0.7748381649310442,117.15230275080187
308,68.0,7,Solar_Atl,RNN,JaB,1654,0.6235575569940895,66.57839111455706
309,69.0,7,Solar_Atl,RidgeCV,JaB,2433,0.6889521100047415,176.69591755312672
310,70.0,7,Solar_Atl,NeuralNet,JaB,2433,0.7314683104156788,99.04176237900951
311,71.0,7,Solar_Atl,RNN,JaB,2433,0.6895843211632685,91.5624318502658
312,72.0,8,Solar_Atl,RidgeCV,JaB,876,0.4901065449010654,110.13280872852505
313,73.0,8,Solar_Atl,NeuralNet,JaB,876,0.4443176052765094,66.78746312515652
314,74.0,8,Solar_Atl,RNN,JaB,876,0.3276255707762557,60.66777510531303
315,75.0,8,Solar_Atl,RidgeCV,JaB,1654,0.6770334928229665,134.90253167214266
316,76.0,8,Solar_Atl,NeuralNet,JaB,1654,0.635941457922882,78.55188720482532
317,77.0,8,Solar_Atl,RNN,JaB,1654,0.6636645088657472,69.24324708105699
318,78.0,8,Solar_Atl,RidgeCV,JaB,2433,0.6891101627943733,176.76422731306386
319,79.0,8,Solar_Atl,NeuralNet,JaB,2433,0.7300458353089933,95.88108189377122
320,80.0,8,Solar_Atl,RNN,JaB,2433,0.6932195353247985,84.33998481593001
321,81.0,9,Solar_Atl,RidgeCV,JaB,876,0.491248097412481,109.20422052054475
322,82.0,9,Solar_Atl,NeuralNet,JaB,876,0.4651192288178589,71.30372182710903
323,83.0,9,Solar_Atl,RNN,JaB,876,0.3606037544393708,67.22242308893364
324,84.0,9,Solar_Atl,RidgeCV,JaB,1654,0.6799887419082465,134.47466334287301
325,85.0,9,Solar_Atl,NeuralNet,JaB,1654,0.6521249648184633,79.46009397423956
326,86.0,9,Solar_Atl,RNN,JaB,1654,0.6614128905150577,71.97267947866605
327,87.0,9,Solar_Atl,RidgeCV,JaB,2433,0.6892682155840051,176.49285557366593
328,88.0,9,Solar_Atl,NeuralNet,JaB,2433,0.7292555713608345,105.24532076524721
329,89.0,9,Solar_Atl,RNN,JaB,2433,0.7117117117117117,91.9919000110079
0,,0,Solar_Atl,RidgeCV,Ensemble,876,0.8845763571790969,255.8685614913471
1,,0,Solar_Atl,RandomForestRegressor,Ensemble,876,0.9005580923389143,247.9830885158751
2,,0,Solar_Atl,NeuralNet,Ensemble,876,0.89117199391172,256.05318236268147
3,,0,Solar_Atl,RNN,Ensemble,876,0.8919330289193302,247.4717360648592
4,,0,Solar_Atl,RidgeCV,Ensemble,1654,0.8885448916408669,277.06178813409923
5,,0,Solar_Atl,RandomForestRegressor,Ensemble,1654,0.8978328173374613,267.63599248612536
6,,0,Solar_Atl,NeuralNet,Ensemble,1654,0.8975513650436251,258.7373212595142
7,,0,Solar_Atl,RNN,Ensemble,1654,0.8964255558682803,262.57616041685964
8,,0,Solar_Atl,RidgeCV,Ensemble,2433,0.8907855223644697,288.16842382728555
9,,0,Solar_Atl,RandomForestRegressor,Ensemble,2433,0.9132290184921764,280.9940699344595
10,,0,Solar_Atl,NeuralNet,Ensemble,2433,0.9032716927453771,254.75251539817648
11,,0,Solar_Atl,RNN,Ensemble,2433,0.9135451240714398,276.61327328090425
12,,1,Solar_Atl,RidgeCV,Ensemble,876,0.8839421613394216,255.84862532963032
13,,1,Solar_Atl,RandomForestRegressor,Ensemble,876,0.8959918822932521,253.04490546431538
14,,1,Solar_Atl,NeuralNet,Ensemble,876,0.8906646372399797,255.16367230510915
15,,1,Solar_Atl,RNN,Ensemble,876,0.8916793505834602,247.67884130492993
16,,1,Solar_Atl,RidgeCV,Ensemble,1654,0.8879819870531945,277.0793599144596
17,,1,Solar_Atl,RandomForestRegressor,Ensemble,1654,0.8975513650436251,266.3933674219563
18,,1,Solar_Atl,NeuralNet,Ensemble,1654,0.8981142696312975,254.25807846450104
19,,1,Solar_Atl,RNN,Ensemble,1654,0.8962848297213623,262.8829712274527
20,,1,Solar_Atl,RidgeCV,Ensemble,2433,0.8909435751541015,288.44773805333097
21,,1,Solar_Atl,RandomForestRegressor,Ensemble,2433,0.9107001738580686,281.28914842435427
22,,1,Solar_Atl,NeuralNet,Ensemble,2433,0.9024814287972184,256.030129014269
23,,1,Solar_Atl,RNN,Ensemble,2433,0.913387071281808,276.9952981762069
24,,2,Solar_Atl,RidgeCV,Ensemble,876,0.8826737696600709,255.5599631538041
25,,2,Solar_Atl,RandomForestRegressor,Ensemble,876,0.8977676306443431,250.9751332143001
26,,2,Solar_Atl,NeuralNet,Ensemble,876,0.8934550989345509,255.37214672613223
27,,2,Solar_Atl,RNN,Ensemble,876,0.8921867072552004,247.7476483326266
28,,2,Solar_Atl,RidgeCV,Ensemble,1654,0.8903743315508021,276.5881165683316
29,,2,Solar_Atl,RandomForestRegressor,Ensemble,1654,0.8934703067830003,264.7718390550236
30,,2,Solar_Atl,NeuralNet,Ensemble,1654,0.8989586265128061,261.16914298685043
31,,2,Solar_Atl,RNN,Ensemble,1654,0.8964255558682803,262.78587825112305
32,,2,Solar_Atl,RidgeCV,Ensemble,2433,0.8911016279437332,288.1159865555465
33,,2,Solar_Atl,RandomForestRegressor,Ensemble,2433,0.90627469574838,278.2347906623733
34,,2,Solar_Atl,NeuralNet,Ensemble,2433,0.9012170064801645,253.02874620982155
35,,2,Solar_Atl,RNN,Ensemble,2433,0.9138612296507034,275.6058944727631
36,,3,Solar_Atl,RidgeCV,Ensemble,876,0.8850837138508372,255.51934181260867
37,,3,Solar_Atl,RandomForestRegressor,Ensemble,876,0.8972602739726028,250.33539032789932
38,,3,Solar_Atl,NeuralNet,Ensemble,876,0.8937087772704211,256.3013261009229
39,,3,Solar_Atl,RNN,Ensemble,876,0.8921867072552004,247.81802985263218
40,,3,Solar_Atl,RidgeCV,Ensemble,1654,0.8891077962285393,276.84872481094345
41,,3,Solar_Atl,RandomForestRegressor,Ensemble,1654,0.8998029833943146,267.8655539382098
42,,3,Solar_Atl,NeuralNet,Ensemble,1654,0.8978328173374613,255.66428648695359
43,,3,Solar_Atl,RNN,Ensemble,1654,0.8957219251336899,263.1329687464294
44,,3,Solar_Atl,RidgeCV,Ensemble,2433,0.8899952584163109,288.4628424093088
45,,3,Solar_Atl,RandomForestRegressor,Ensemble,2433,0.9114904378062272,279.8319077588953
46,,3,Solar_Atl,NeuralNet,Ensemble,2433,0.9046941678520626,259.5122361954964
47,,3,Solar_Atl,RNN,Ensemble,2433,0.9138612296507034,276.2577538835859
48,,4,Solar_Atl,RidgeCV,Ensemble,876,0.8847031963470321,255.5366233058868
49,,4,Solar_Atl,RandomForestRegressor,Ensemble,876,0.8954845256215119,254.6390712936405
50,,4,Solar_Atl,NeuralNet,Ensemble,876,0.8949771689497716,254.91958783866866
