itrial,dataname,muh_fun,method,train_size,alpha,coverage,width,bootstrap_type,block_length
0,Solar_Atl,LassoCV,Ensemble,,0.9,0.10021565393885576,3.8647887137769286,circular,60
0,Solar_Atl,RidgeCV,Ensemble,,0.9,0.09920081187365216,4.280934866090488,circular,60
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.9,0.471267284028923,0.000865765283077911,circular,60
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.9,0.1550171254598503,0.43336616473319184,circular,60
0,Solar_Atl,LassoCV,Ensemble,,0.99,0.008753012812381073,0.3352683966582823,circular,60
0,Solar_Atl,RidgeCV,Ensemble,,0.99,0.007865026005327921,0.36303199529026126,circular,60
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.99,0.4640365343143473,5.259107122068062e-05,circular,60
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.99,0.12495242927819358,0.00398636765783221,circular,60
0,Solar_Atl,LassoCV,Ensemble,,0.01,0.9857922110871495,455.3835517517105,circular,72
0,Solar_Atl,RidgeCV,Ensemble,,0.01,0.9852847900545477,458.7167211357599,circular,72
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.01,0.9859190663453,374.5597115228398,circular,72
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.01,0.9861727768616009,352.5706779640934,circular,72
0,Solar_Atl,LassoCV,Ensemble,,0.1,0.8934415831536218,161.23770040805965,circular,72
0,Solar_Atl,RidgeCV,Ensemble,,0.1,0.8942027147025244,162.13687405965632,circular,72
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.1,0.8944564252188253,218.5728067718749,circular,72
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.1,0.8931878726373208,210.47020812677533,circular,72
0,Solar_Atl,LassoCV,Ensemble,,0.2,0.7894202714702524,83.4219956506006,circular,72
0,Solar_Atl,RidgeCV,Ensemble,,0.2,0.7900545477610047,84.15378920207877,circular,72
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.2,0.8028669288342002,112.12013822243934,circular,72
