level_0,index,itrial,dataname,muh_fun,method,alpha,coverage,width
154,4.0,0,Solar_Atl,,ARIMA,0.25,0.7445776255707762,84.68686344273894
0,,0,Solar_Atl,RNN,Ensemble,0.05,0.9355022831050228,361.3119255880672
1,,0,Solar_Atl,RNN,Ensemble,0.1,0.8817066210045662,263.32102120757514
2,,0,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8251997716894978,202.10781392075143
3,,0,Solar_Atl,RNN,Ensemble,0.2,0.7841038812785388,147.21345018554513
4,,0,Solar_Atl,RNN,Ensemble,0.25,0.7288812785388128,108.95402829678088
5,,1,Solar_Atl,RNN,Ensemble,0.05,0.9360730593607306,361.2233504772811
6,,1,Solar_Atl,RNN,Ensemble,0.1,0.8868436073059359,269.3250432761225
7,,1,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8306221461187214,184.2254299061864
8,,1,Solar_Atl,RNN,Ensemble,0.2,0.7785388127853882,145.71038035394594
9,,1,Solar_Atl,RNN,Ensemble,0.25,0.7298801369863014,118.28047533935957
10,,2,Solar_Atl,RNN,Ensemble,0.05,0.937642694063927,365.3829347247242
11,,2,Solar_Atl,RNN,Ensemble,0.1,0.8794235159817352,259.31659669175247
12,,2,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8293378995433791,191.5396171158653
13,,2,Solar_Atl,RNN,Ensemble,0.2,0.7845319634703196,147.105636474962
14,,2,Solar_Atl,RNN,Ensemble,0.25,0.7254566210045662,110.95545069178853
15,,3,Solar_Atl,RNN,Ensemble,0.05,0.9352168949771691,369.7159875187368
16,,3,Solar_Atl,RNN,Ensemble,0.1,0.8858447488584474,258.5257077495627
17,,3,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8324771689497716,196.2800534803856
18,,3,Solar_Atl,RNN,Ensemble,0.2,0.7808219178082192,149.29795006324878
19,,3,Solar_Atl,RNN,Ensemble,0.25,0.7311643835616438,114.70438093555096
20,,4,Solar_Atl,RNN,Ensemble,0.05,0.9337899543378996,347.2211029570626
21,,4,Solar_Atl,RNN,Ensemble,0.1,0.8815639269406392,257.8515164390293
22,,4,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8320490867579908,197.2184928811112
23,,4,Solar_Atl,RNN,Ensemble,0.2,0.7756849315068494,149.71969670537385
24,,4,Solar_Atl,RNN,Ensemble,0.25,0.728310502283105,116.07586950897335
25,,5,Solar_Atl,RNN,Ensemble,0.05,0.9340753424657534,370.7383268092426
26,,5,Solar_Atl,RNN,Ensemble,0.1,0.8805650684931506,251.73810069410672
27,,5,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8323344748858448,199.127958192852
28,,5,Solar_Atl,RNN,Ensemble,0.2,0.7789668949771691,143.51614494407772
29,,5,Solar_Atl,RNN,Ensemble,0.25,0.7244577625570776,114.19221368496412
30,,6,Solar_Atl,RNN,Ensemble,0.05,0.9343607305936074,361.2368474573584
31,,6,Solar_Atl,RNN,Ensemble,0.1,0.8867009132420092,260.2243215337436
