level_0,index,itrial,dataname,muh_fun,method,alpha,coverage,width
148,148.0,9,Solar_Atl,RandomForestRegressor,Ensemble,0.25,0.7477168949771691,124.3135896265303
149,149.0,9,Solar_Atl,Sequential,Ensemble,0.25,0.7325913242009132,106.76114629356294
150,0.0,0,Solar_Atl,,ARIMA,0.05,0.8591609589041096,144.2893829848251
151,1.0,0,Solar_Atl,,ARIMA,0.1,0.8229166666666666,121.09146739697624
152,2.0,0,Solar_Atl,,ARIMA,0.15000000000000002,0.7992294520547946,105.97598188912168
153,3.0,0,Solar_Atl,,ARIMA,0.2,0.7714041095890408,94.34575640891735
154,4.0,0,Solar_Atl,,ARIMA,0.25,0.7445776255707762,84.68686344273894
0,,0,Solar_Atl,RNN,Ensemble,0.05,0.9510559360730594,319.79950021239176
1,,0,Solar_Atl,RNN,Ensemble,0.1,0.8956906392694064,226.84666253032398
2,,0,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8394691780821918,185.1050508833476
3,,0,Solar_Atl,RNN,Ensemble,0.2,0.7888127853881278,158.4188704194909
4,,0,Solar_Atl,RNN,Ensemble,0.25,0.7470034246575342,120.44964230141295
5,,1,Solar_Atl,RNN,Ensemble,0.05,0.9386415525114156,302.34704060021164
6,,1,Solar_Atl,RNN,Ensemble,0.1,0.8935502283105022,241.09108480695699
7,,1,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.836472602739726,198.4427400755244
8,,1,Solar_Atl,RNN,Ensemble,0.2,0.7910958904109592,168.32356281229818
9,,1,Solar_Atl,RNN,Ensemble,0.25,0.7432933789954338,107.4461211502657
10,,2,Solar_Atl,RNN,Ensemble,0.05,0.9409246575342466,284.81796796005693
11,,2,Solar_Atl,RNN,Ensemble,0.1,0.8952625570776256,232.7328418509581
12,,2,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8454623287671232,174.85066651757546
13,,2,Solar_Atl,RNN,Ensemble,0.2,0.8026541095890408,144.79652110964085
14,,2,Solar_Atl,RNN,Ensemble,0.25,0.7448630136986302,107.4942879617746
15,,3,Solar_Atl,RNN,Ensemble,0.05,0.9529109589041096,698.6056649543349
16,,3,Solar_Atl,RNN,Ensemble,0.1,0.8981164383561644,528.4267694063672
17,,3,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8453196347031964,201.121201882931
18,,3,Solar_Atl,RNN,Ensemble,0.2,0.7836757990867579,173.98906072261914
19,,3,Solar_Atl,RNN,Ensemble,0.25,0.7385844748858448,135.6521586725095
20,,4,Solar_Atl,RNN,Ensemble,0.05,0.9389269406392694,290.4904011071976
21,,4,Solar_Atl,RNN,Ensemble,0.1,0.8859874429223744,237.969549386643
22,,4,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8473173515981736,177.0117036547718
23,,4,Solar_Atl,RNN,Ensemble,0.2,0.7828196347031964,157.13069891057376
24,,4,Solar_Atl,RNN,Ensemble,0.25,0.7551369863013698,219.19905770035908
25,,5,Solar_Atl,RNN,Ensemble,0.05,0.9366438356164384,308.0755034160411
26,,5,Solar_Atl,RNN,Ensemble,0.1,0.8908390410958904,239.86437919437103
27,,5,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.843892694063927,189.58065310191785
28,,5,Solar_Atl,RNN,Ensemble,0.2,0.7905251141552512,155.2471264329936
29,,5,Solar_Atl,RNN,Ensemble,0.25,0.7414383561643836,139.09083848520558
30,,6,Solar_Atl,RNN,Ensemble,0.05,0.9380707762557078,298.5302166273298
31,,6,Solar_Atl,RNN,Ensemble,0.1,0.8959760273972602,244.1680629213339
32,,6,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8456050228310502,194.64576161026832
33,,6,Solar_Atl,RNN,Ensemble,0.2,0.7903824200913242,154.06936507547042
34,,6,Solar_Atl,RNN,Ensemble,0.25,0.7384417808219178,153.3590808358231
35,,7,Solar_Atl,RNN,Ensemble,0.05,0.9417808219178082,318.03870627765536
36,,7,Solar_Atl,RNN,Ensemble,0.1,0.8874143835616438,255.0136637150024
37,,7,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8340468036529679,204.9110706253602
38,,7,Solar_Atl,RNN,Ensemble,0.2,0.7953767123287672,136.54857455251295
39,,7,Solar_Atl,RNN,Ensemble,0.25,0.7477168949771691,113.13108519467524
40,,8,Solar_Atl,RNN,Ensemble,0.05,0.9379280821917808,296.01876104973616
41,,8,Solar_Atl,RNN,Ensemble,0.1,0.8974029680365296,232.23731110850446
42,,8,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8413242009132421,204.24756024393025
43,,8,Solar_Atl,RNN,Ensemble,0.2,0.7925228310502284,260.23670091325
44,,8,Solar_Atl,RNN,Ensemble,0.25,0.7384417808219178,135.19518369912916
45,,9,Solar_Atl,RNN,Ensemble,0.05,0.9410673515981736,314.39425184151247
46,,9,Solar_Atl,RNN,Ensemble,0.1,0.8981164383561644,528.4267694063672
47,,9,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8513127853881278,364.1530964611998
48,,9,Solar_Atl,RNN,Ensemble,0.2,0.7895262557077626,150.81030427146655
49,,9,Solar_Atl,RNN,Ensemble,0.25,0.7507134703196348,133.18966151181695
