level_0,index,itrial,dataname,muh_fun,method,alpha,coverage,width
131,131.0,8,Beijing_air,Sequential,Ensemble,0.2,0.795875,64.59860040645752
132,132.0,8,Beijing_air,RidgeCV,Ensemble,0.25,0.75425,30.878813054636645
133,133.0,8,Beijing_air,RandomForestRegressor,Ensemble,0.25,0.755625,49.12168122638235
134,134.0,8,Beijing_air,Sequential,Ensemble,0.25,0.748375,59.485056013839504
135,135.0,9,Beijing_air,RidgeCV,Ensemble,0.05,0.95025,79.7297919117577
136,136.0,9,Beijing_air,RandomForestRegressor,Ensemble,0.05,0.949875,99.12465176446376
137,137.0,9,Beijing_air,Sequential,Ensemble,0.05,0.941125,118.09715190490739
138,138.0,9,Beijing_air,RidgeCV,Ensemble,0.1,0.9015,56.23625804135089
139,139.0,9,Beijing_air,RandomForestRegressor,Ensemble,0.1,0.902375,70.8199187145938
140,140.0,9,Beijing_air,Sequential,Ensemble,0.1,0.894875,92.79702284389015
141,141.0,9,Beijing_air,RidgeCV,Ensemble,0.15000000000000002,0.852375,44.72108287528838
142,142.0,9,Beijing_air,RandomForestRegressor,Ensemble,0.15000000000000002,0.852125,59.049634328516476
143,143.0,9,Beijing_air,Sequential,Ensemble,0.15000000000000002,0.845625,81.63660649631481
144,144.0,9,Beijing_air,RidgeCV,Ensemble,0.2,0.803625,36.98331148008579
145,145.0,9,Beijing_air,RandomForestRegressor,Ensemble,0.2,0.8005,52.871064782516974
146,146.0,9,Beijing_air,Sequential,Ensemble,0.2,0.7959999999999999,65.13899633603411
147,147.0,9,Beijing_air,RidgeCV,Ensemble,0.25,0.754625,31.30743467499332
148,148.0,9,Beijing_air,RandomForestRegressor,Ensemble,0.25,0.754,48.41690642635072
149,149.0,9,Beijing_air,Sequential,Ensemble,0.25,0.747,55.27212745068802
150,0.0,0,Beijing_air,,ARIMA,0.05,0.96475,91.94001971700294
151,1.0,0,Beijing_air,,ARIMA,0.1,0.94825,77.15849683278283
152,2.0,0,Beijing_air,,ARIMA,0.15000000000000002,0.932,67.52703257064529
153,3.0,0,Beijing_air,,ARIMA,0.2,0.9155,60.116347613487825
154,4.0,0,Beijing_air,,ARIMA,0.25,0.89475,53.96177967935048
0,,0,Beijing_air,RNN,Ensemble,0.05,0.939875,122.17993172127258
1,,0,Beijing_air,RNN,Ensemble,0.1,0.88675,81.51052792426444
2,,0,Beijing_air,RNN,Ensemble,0.15000000000000002,0.834375,63.32664885100277
3,,0,Beijing_air,RNN,Ensemble,0.2,0.781875,51.693089838924074
4,,0,Beijing_air,RNN,Ensemble,0.25,0.733375,41.95806958212014
5,,1,Beijing_air,RNN,Ensemble,0.05,0.9385,119.42909011367635
6,,1,Beijing_air,RNN,Ensemble,0.1,0.88725,80.53128025987174
7,,1,Beijing_air,RNN,Ensemble,0.15000000000000002,0.833875,64.10665157908116
8,,1,Beijing_air,RNN,Ensemble,0.2,0.782125,52.07989613512528
9,,1,Beijing_air,RNN,Ensemble,0.25,0.73375,41.82696241522314
10,,2,Beijing_air,RNN,Ensemble,0.05,0.9375,124.12499900081093
11,,2,Beijing_air,RNN,Ensemble,0.1,0.88625,82.2517151922356
12,,2,Beijing_air,RNN,Ensemble,0.15000000000000002,0.830125,64.67377069157489
13,,2,Beijing_air,RNN,Ensemble,0.2,0.78325,51.86693785285284
